"","Name","Sport","Sex","Team","n"
"367","Alfred Karl Neuland (Neiland-)","Weightlifting","M","Estonia",1
"368","Alfred Klingler","Handball","M","Germany",1
"369","Alfred Lee Loomis, Jr.","Sailing","M","Llanoria",1
"370","Alfred Mayo ""Al"" Wilson","Rowing","M","United States",1
"371","Alfred Neveu","Bobsleigh","M","Switzerland-1",1
"372","Alfred Page ""Al"" Lane","Shooting","M","United States",5
"373","Alfred Probst","Rowing","M","Switzerland",1
"374","Alfred Reginald Thomson","Art Competitions","M","Great Britain",1
"375","Alfred Schlppi","Bobsleigh","M","Switzerland-1",1
"376","Alfred Waldemar Garmann Larsen","Sailing","M","Magda IX",1
"377","Alfredo Dinale","Cycling","M","Italy",1
"378","Alfredo Foni","Football","M","Italy",1
"379","Alfredo Gollini","Gymnastics","M","Italy",1
"380","Alfredo J. Zibecchi","Football","M","Uruguay",1
"381","Alfredo Juan Ghierra","Football","M","Uruguay",1
"382","Alfredo ngel Romano","Football","M","Uruguay",1
"383","Alfredo Pezzana","Fencing","M","Italy",1
"384","Alfredo Rota","Fencing","M","Italy",1
"385","Alfredrick Alphonzo ""Al"" Joyner","Athletics","M","United States",1
"386","Algernon Maudslay","Sailing","M","Scotia",2
"387","Algimantas alna","Biathlon","M","Soviet Union",1
"388","Ali Iqtidar Shah Dara","Hockey","M","India",1
"389","Ali Reza Dabir","Wrestling","M","Iran",1
"390","Alice Marie Coachman (-Davis)","Athletics","F","United States",1
"391","Alice Mary Mills (-Tait)","Swimming","F","Australia",2
"392","Alice Regina Brown (-Harris)","Athletics","F","United States",2
"393","Alice Ruth ""Ruthie"" Bolton-Holifield","Basketball","F","United States",2
"394","Alicia Jayne Coutts","Swimming","F","Australia",1
"395","Alicia Quirk","Rugby Sevens","F","Australia",1
"396","Alida Johanna ""Alie"" van den Bos","Gymnastics","F","Netherlands",1
"397","Alin George Moldoveanu","Shooting","M","Romania",1
"398","Alina Alexandra Dumitru (-Croitoru)","Judo","F","Romania",1
"399","Alina Andreyevna Makarenko","Rhythmic Gymnastics","F","Russia",1
"400","Alina Maratovna Kabayeva","Rhythmic Gymnastics","F","Russia",1
