,Team,total
1155,Western Golf Association-1,10
1156,Western Rowing Club-3,6
1157,Whirlaway,0
1158,Whisper,0
1159,White Lady,3
1160,Whitini Star,0
1161,Widgeon,2
1162,Wiking,0
1163,Willem-Six,3
1164,Windor,0
1165,Winnipeg Shamrocks-1,12
1166,Wolseley-Siddeley-1,0
1167,Xantippa,0
1168,Xolotl,0
1169,Yangon,0
1170,Yemen,0
1171,Yeoman,0
1172,Yeoman V,0
1173,Yeoman VII,0
1174,Yeoman XII,0
1175,Ylliam II,0
1176,Ylliam VII,0
1177,Ylliam VIII,0
1178,Yugoslavia,390
1179,Yugoslavia-1,0
1180,Yugoslavia-2,0
1181,Zambia,2
1182,Zefyros,0
1183,Zimbabwe,22
1184,Zut,3
