"","Year","Team","total"
"513",1936,"Sunshine",2
"514",1936,"Sweden",38
"515",1936,"Switzerland",52
"516",1936,"Switzerland-1",4
"517",1936,"Switzerland-2",6
"518",1936,"Turkey",2
"519",1936,"United States",108
"520",1936,"United States-1",2
"521",1936,"United States-2",2
"522",1936,"Wannsee",2
"523",1936,"Yugoslavia",1
"524",1948,"Ali-Baba II",5
"525",1948,"Argentina",6
"526",1948,"Australia",16
"527",1948,"Austria",16
"528",1948,"Belgium",21
"529",1948,"Brazil",10
"530",1948,"Canada",22
"531",1948,"Czechoslovakia",37
"532",1948,"Denmark",48
"533",1948,"Djinn",5
"534",1948,"Egypt",5
"535",1948,"Finland",42
"536",1948,"France",77
"537",1948,"Great Britain",61
"538",1948,"Hilarius",2
"539",1948,"Hungary",62
"540",1948,"Hungary-1",2
"541",1948,"India",20
"542",1948,"Iran",1
"543",1948,"Ireland",1
"544",1948,"Italy",68
"545",1948,"Jamaica",3
"546",1948,"Kurush II",2
"547",1948,"Llanoria",5
"548",1948,"Margaret",2
"549",1948,"Mexico",9
"550",1948,"Netherlands",40
"551",1948,"Norway",28
"552",1948,"Pan",3
"553",1948,"Panama",2
"554",1948,"Peru",1
"555",1948,"Poland",2
"556",1948,"Portugal",3
"557",1948,"Puerto Rico",1
"558",1948,"Slaghoken",3
"559",1948,"Snap",3
"560",1948,"South Africa",6
"561",1948,"South Korea",2
"562",1948,"Spain",3
"563",1948,"Sri Lanka",1
"564",1948,"Starita",2
"565",1948,"Sweden",80
"566",1948,"Swift",2
"567",1948,"Switzerland",60
"568",1948,"Switzerland-1",2
"569",1948,"Switzerland-2",2
"570",1948,"Symphony",2
"571",1948,"Trinidad and Tobago",1
"572",1948,"Turkey",12
"573",1948,"United States",149
"574",1948,"United States-1",4
"575",1948,"United States-2",6
"576",1948,"Uruguay",3
"577",1948,"Yugoslavia",16
"578",1952,"Argentina",6
"579",1952,"Australia",20
"580",1952,"Austria",11
"581",1952,"Belgium",8
"582",1952,"Brazil",3
"583",1952,"Bulgaria",1
"584",1952,"Canada",21
"585",1952,"Chile",4
"586",1952,"Comanche",2
"587",1952,"Complex II",4
"588",1952,"Czechoslovakia",25
"589",1952,"Denmark",9
"590",1952,"Egypt",1
"591",1952,"Elisabeth X",5
"592",1952,"Encore",3
"593",1952,"Espadarte",2
"594",1952,"Finland",47
"595",1952,"France",41
"596",1952,"Germany",45
"597",1952,"Germany-1",4
"598",1952,"Great Britain",32
"599",1952,"Gustel X",3
"600",1952,"Hojwa",3
"601",1952,"Hungary",102
"602",1952,"Hungary-1",2
"603",1952,"India",15
"604",1952,"Iran",7
"605",1952,"Ireland",1
"606",1952,"Italy",54
"607",1952,"Jamaica",8
"608",1952,"Japan",12
"609",1952,"Lebanon",2
"610",1952,"Llanoria",6
"611",1952,"Luxembourg",1
"612",1952,"Merope",2
"613",1952,"Mexico",1
"614",1952,"Netherlands",21
"615",1952,"New Zealand",3
"616",1952,"Norway",21
"617",1952,"Pan",3
"618",1952,"Poland",4
"619",1952,"Ralia",5
"620",1952,"Romania",4
"621",1952,"South Africa",14
"622",1952,"South Korea",2
"623",1952,"Soviet Union",117
"624",1952,"Spain",1
"625",1952,"Sweden",87
"626",1952,"Switzerland",33
"627",1952,"Switzerland-1",6
"628",1952,"Tornado",3
"629",1952,"Trinidad and Tobago",2
"630",1952,"Turkey",3
"631",1952,"United States",144
"632",1952,"United States-1",8
"633",1952,"Uruguay",14
"634",1952,"Venezuela",1
"635",1952,"Yugoslavia",24
"636",1956,"Argentina",2
"637",1956,"Australia",62
"638",1956,"Austria",14
"639",1956,"Austria-1",2
"640",1956,"Belgium",2
"641",1956,"Bluebottle",3
"642",1956,"Brazil",1
"643",1956,"Bulgaria",18
"644",1956,"Buraddoo",3
"645",1956,"Canada",37
"646",1956,"Canada-1",2
"647",1956,"Chile",4
"648",1956,"Chuckles",2
"649",1956,"Czechoslovakia",7
"650",1956,"Denmark",3
"651",1956,"Falcon IV",2
"652",1956,"Finland",38
"653",1956,"France",33
"654",1956,"Gem IV",2
"655",1956,"Germany",54
"656",1956,"Great Britain",37
"657",1956,"Greece",1
"658",1956,"Hungary",66
"659",1956,"Iceland",1
"660",1956,"India",17
"661",1956,"Iran",5
"662",1956,"Ireland",5
"663",1956,"Italy",45
"664",1956,"Italy-1",2
"665",1956,"Italy-2",6
"666",1956,"Japan",25
"667",1956,"Jest",2
"668",1956,"Kathleen",2
"669",1956,"Merope III",2
"670",1956,"Mexico",2
"671",1956,"New Zealand",1
"672",1956,"Norway",7
"673",1956,"Pakistan",14
"674",1956,"Poland",20
"675",1956,"Romania",19
"676",1956,"Rush V",3
"677",1956,"Slaghoken II",3
"678",1956,"South Africa",7
"679",1956,"South Korea",2
"680",1956,"Soviet Union",206
"681",1956,"Sweden",43
"682",1956,"Switzerland",7
"683",1956,"Switzerland-1",6
"684",1956,"Tip",3
"685",1956,"Turkey",7
"686",1956,"United States",143
"687",1956,"United States-1",4
"688",1956,"Uruguay",12
"689",1956,"Vision",4
"690",1956,"Yugoslavia",23
"691",1960,"Argentina",1
"692",1960,"Australia",46
"693",1960,"Austria",9
"694",1960,"Ballerina IV",3
"695",1960,"Belgium",4
"696",1960,"Brazil",13
"697",1960,"Bulgaria",7
"698",1960,"Canada",28
"699",1960,"Canada-1",2
"700",1960,"Chinese Taipei",1
"701",1960,"Czechoslovakia",23
"702",1960,"Denmark",18
"703",1960,"Ethiopia",1
"704",1960,"Finland",19
"705",1960,"France",15
"706",1960,"Germany",93
"707",1960,"Germany-1",2
"708",1960,"Ghana",1
"709",1960,"Great Britain",28
"710",1960,"Hungary",66
"711",1960,"India",13
"712",1960,"Iran",4
"713",1960,"Iraq",1
"714",1960,"Italy",86
"715",1960,"Japan",31
"716",1960,"Ma'Lindo",2
"717",1960,"Macky VI",3
"718",1960,"Mexico",1
"719",1960,"Minotaur",3
"720",1960,"Morocco",1
"721",1960,"Netherlands",5
"722",1960,"New Zealand",3
"723",1960,"Nirefs",3
"724",1960,"Norway",9
"725",1960,"Pakistan",14
"726",1960,"Poland",32
"727",1960,"Romania",15
"728",1960,"Shrew II",2
"729",1960,"Singapore",1
"730",1960,"Sirene",2
"731",1960,"Skum",2
"732",1960,"South Africa",3
"733",1960,"Soviet Union",209
"734",1960,"Spain",14
"735",1960,"Sweden",16
"736",1960,"Switzerland",11
"737",1960,"Tango",3
"738",1960,"Tornado",2
"739",1960,"Turkey",9
"740",1960,"United Arab Republic",2
"741",1960,"United States",145
"742",1960,"United States-1",2
"743",1960,"Venezuela",1
"744",1960,"Venilia",3
"745",1960,"Web II",3
"746",1960,"West Indies Federation",5
"747",1960,"Yugoslavia",17
"748",1964,"Aphrodite",3
"749",1964,"Argentina",1
"750",1964,"Australia",41
"751",1964,"Austria",9
"752",1964,"Austria-1",6
"753",1964,"Austria-2",2
"754",1964,"Barrenjoey",3
"755",1964,"Belgium",3
"756",1964,"Bingo",3
"757",1964,"Brazil",12
"758",1964,"Bulgaria",10
"759",1964,"Canada",6
"760",1964,"Canada-1",6
"761",1964,"Cuba",1
"762",1964,"Czechoslovakia",71
"763",1964,"Denmark",9
"764",1964,"Ethiopia",1
"765",1964,"Finland",20
"766",1964,"France",38
"767",1964,"Gem",2
"768",1964,"Germany",121
"769",1964,"Germany-1",2
"770",1964,"Ghana",1
"771",1964,"Glider",2
"772",1964,"Great Britain",26
"773",1964,"Great Britain-1",2
"774",1964,"Humbug V",2
"775",1964,"Hungary",56
"776",1964,"India",15
"777",1964,"Iran",2
"778",1964,"Ireland",1
"779",1964,"Italy",51
"780",1964,"Italy-1",4
"781",1964,"Italy-2",6
"782",1964,"Japan",62
"783",1964,"Kenya",1
"784",1964,"Lady C",2
"785",1964,"Mexico",1
"786",1964,"Mutafo",3
"787",1964,"Netherlands",33
"788",1964,"New Zealand",4
"789",1964,"Nigeria",1
"790",1964,"North Korea",1
"791",1964,"Norway",15
"792",1964,"Pakistan",16
"793",1964,"Pandora",2
"794",1964,"Philippines",1
"795",1964,"Poland",46
"796",1964,"Romania",16
"797",1964,"Rush VII",3
"798",1964,"South Korea",3
"799",1964,"Soviet Union",219
"800",1964,"Soviet Union-1",2
"801",1964,"Sweden",38
"802",1964,"Switzerland",6
"803",1964,"Trinidad and Tobago",6
"804",1964,"Tunisia",2
"805",1964,"Turkey",6
"806",1964,"United States",165
"807",1964,"United States-1",2
"808",1964,"Uruguay",1
"809",1964,"White Lady",3
"810",1964,"Widgeon",2
"811",1964,"Yugoslavia",15
"812",1968,"Argentina",2
"813",1968,"Australia",51
"814",1968,"Austria",14
